id,name,address,comment,created_at,latitude,longitude,sentiment
1,Equinox Brookfield Place,"225 Liberty St (at West St), New York, NY 10281",Hot yoga is on point. Clear views across the Hudson from the weight floor. Perfect spot for workouts on a rainy day since it's connected to the Oculus.,2019-12-31 17:12:40,40.711974,-74.016237,1
2,Equinox Brookfield Place,"225 Liberty St (at West St), New York, NY 10281","Gym floor is a bit uninspiring, but the location is great.",2019-12-17 14:00:01,40.711974,-74.016237,1
3,Equinox Brookfield Place,"225 Liberty St (at West St), New York, NY 10281",This location has low ceilings and gets very crowded in the mornings,2019-01-14 04:06:52,40.711974,-74.016237,-1
4,Equinox Brookfield Place,"225 Liberty St (at West St), New York, NY 10281",Excellent! They have classes to motivate you as well as great equipment,2018-09-25 10:38:14,40.711974,-74.016237,1
5,Equinox Brookfield Place,"225 Liberty St (at West St), New York, NY 10281","Great views and nice lounge area, but overall pretty small and limited machines.",2018-07-10 22:41:19,40.711974,-74.016237,1
6,Asphalt Green,"212 N End Ave (Murray), New York, NY 10282","Hidden gym with basketball courts, pools, weight room and everything else you need.",2017-03-21 03:00:56,40.711974,-74.016237,0
7,Asphalt Green,"212 N End Ave (Murray), New York, NY 10282","The equipment seemed solid, and I came for the pool. That said, it was a 3-day trial. Membership fees were steep, and I'm not becoming a triathlete any time soon.",2015-09-05 21:08:31,40.711974,-74.016237,1
8,Asphalt Green,"212 N End Ave (Murray), New York, NY 10282",It's really expensive and the camp was really annoying so idk what to say other than it's strange and expensive..,2015-01-25 03:30:28,40.711974,-74.016237,-1
9,Asphalt Green,"212 N End Ave (Murray), New York, NY 10282",The camp isn't good and it is OK i mean it is overpriced,2015-01-25 03:18:23,40.711974,-74.016237,1
10,Asphalt Green,"212 N End Ave (Murray), New York, NY 10282","Really great gym option if you swim, have a family (aka open court gym time like basketball), or want a less crowded place. On the whole, They have better cardio equipment than lifting equipment.",2014-08-27 01:03:33,40.711974,-74.016237,1
11,Battery Park City Ballfields,"West St, New York, NY 10282",I like the stands for people to watch the games and the turf is good and the cleats can grip onto it nicely,2015-01-25 03:27:18,40.711974,-74.016237,1
12,Battery Park City Ballfields,"West St, New York, NY 10282",You would love our artificial grass...real as it comes...lots of different choices...,2014-11-10 23:26:28,40.711974,-74.016237,1
13,Battery Park City Ballfields,"West St, New York, NY 10282","One of the best ballfields in NYC. Soccer, baseball, batting ""cage,"" frisbee, whatever you want to do this place has enough open space for all ages from toddlers to adults!",2014-08-09 18:02:47,40.711974,-74.016237,1
14,Battery Park City Ballfields,"West St, New York, NY 10282",Fun fact: The entire field will be recyclable once it's lived its useful life.,2014-07-25 15:11:04,40.711974,-74.016237,1
15,Battery Park City Ballfields,"West St, New York, NY 10282",small and cool view from here,2011-09-06 15:59:45,40.711974,-74.016237,1
16,American Express Fitness Center,"200 Vesey St, New York, NY 10285",Check here: http://www.iherb.com/iherb-brands?rcode=PVT821 Big discounts! Quality natural products :)  :),2016-04-14 15:15:33,40.711974,-74.016237,1
17,American Express Fitness Center,"200 Vesey St, New York, NY 10285",This place sells Hammer Nutrition products but you must have building access....which isn't me.,2013-10-23 17:31:22,40.711974,-74.016237,0
18,American Express Fitness Center,"200 Vesey St, New York, NY 10285",The 15 min Abs/Back class is a quick and potent supplement to your daily workout!,2013-06-11 17:33:19,40.711974,-74.016237,0
19,American Express Fitness Center,"200 Vesey St, New York, NY 10285",Definitely come after work instead of the morning to avoid the crowds and guarantee access to weight equipment...  6:30 onwards to 8:30 close seems to be the sweet spot...,2013-05-03 02:45:55,40.711974,-74.016237,1
20,American Express Fitness Center,"200 Vesey St, New York, NY 10285",Always start my day here. Great gym and a great staff.,2013-04-04 11:59:11,40.711974,-74.016237,1
21,Battery Park Volleyball Court,"New York, NY 10280",Public: Only in the late spring and early fall.,2018-06-13 13:37:03,40.711974,-74.016237,0
22,Battery Park Volleyball Court,"New York, NY 10280",Best free place to play. Cool breeze and nice people,2014-08-07 06:36:10,40.711974,-74.016237,1
